770000K20104,K201,CUW,重庆北,GZQ,广州,CUW,重庆北,GZQ,广州,12:20,10:36,1,,22:16,Y,1336,1019803287406020002910198007763033700070,20161229,20161113,W3431333,10401030,3,1413,W1,01,13,59,1100,0,0,正常车次，不受控
760000K19402,K191,CDW,成都,GZQ,广州,CUW,重庆北,GZQ,广州,14:18,13:30,1,,23:12,Y,1392,1019803000406020000710198000363033700060,20161229,20161113,W3431333,10401030,3,1413,W1,03,16,59,1100,0,0,正常车次，不受控
770000K6870A,K687,CUW,重庆北,OTQ,汕头,CUW,重庆北,GZQ,广州,15:15,12:58,1,,21:43,Y,1303,1019803000406020001110198004873033700002,20161229,20161113,W3431333,10401030,3,1413,W2,01,14,59,1100,0,0,正常车次，不受控
770000K77507,K775,CUW,重庆北,GZQ,广州,CUW,重庆北,GZQ,广州,15:55,14:22,1,,22:27,Y,1347,1019803310406020003110198009203033700000,20161229,20161113,W3431333,10401030,3,1413,W2,01,15,59,1100,0,0,正常车次，不受控
760000K4880C,K488,ICW,成都东,SZQ,深圳,BPW,北碚,GZQ,广州,17:01,03:45,2,,34:44,Y,2084,1022903062406940002210229000203038900045,20161229,20161113,W3431333,10401030,3,1413,W1,03,24,59,1530,0,0,正常车次，不受控
770000K8130D,K813,RXW,达州,ZVQ,肇庆,CUW,重庆北,GZQ,广州,20:56,18:50,1,,21:54,Y,1314,1019803288406020002810198000923033700026,20161229,20161113,W3431333,10401030,3,1413,W2,05,20,59,1100,0,0,正常车次，不受控
760000K5880D,K585,CDW,成都,OSQ,深圳西,CUW,重庆北,GZQ,广州,22:20,05:04,2,,30:44,Y,1844,1021303162405720001410213000893036300015,20161229,20161113,W3431333,10401030,3,1413,W2,04,21,59,1100,0,0,正常车次，不受控
770000K35804,K358,CUW,重庆北,GZQ,广州,CUW,重庆北,GZQ,广州,23:20,05:12,2,,29:52,Y,1792,1024303327407370003010243008843041400180,20161229,20161113,W3431333,10401030,3,1413,W1,01,22,59,1100,0,0,正常车次，不受控
760000K83500,K835,IEW,巴中,OSQ,深圳西,CUW,重庆北,GZQ,广州,23:23,05:20,2,,29:57,Y,1797,1021303254405720001110213000643036300000,20161229,20161113,W3431333,10401030,3,1413,W2,06,24,59,1100,0,0,正常车次，不受控
6i00000G720C,G72,IOQ,深圳北,BXP,北京西,IZQ,广州南,BXP,北京西,08:27,18:21,0,,09:54,Y,594,O086200053M1380000619272400024,20161229,20161113,O3M393,O0M090,3,OM9,Q6,02,15,59,1300,1,0,正常车次，不受控
